image,variation,short_caption_bn,long_desc_bn,logic_bn,poetic_bn,visual_tags_en,context_tags_en,authenticity,safety,scene_details,color_details
156.jpg,1,একটি ব্যস্ত দিনে ঢাকার রাস্তায় তীব্র যানজটের চিত্র।,"ছবিতে ঢাকার একটি ব্যস্ত প্রধান সড়কে অসংখ্য বাস, সিএনজি, প্রাইভেট কার এবং ট্রাকের দীর্ঘ সারি দেখা যাচ্ছে। আকাশ মেঘলা এবং রাস্তার পাশে বহুতল ভবন ও নির্মাণাধীন মেট্রো রেলের কাঠামো দৃশ্যমান।",অতিরিক্ত যানবাহন এবং সরু রাস্তার কারণে ব্যস্ত সময়ে এমন ভয়াবহ যানজটের সৃষ্টি হয়।,"যান্ত্রিক এই শহরের ধমনীতে যেন স্থবিরতা নেমে এসেছে, যেখানে ব্যস্ততা আর অপেক্ষার এক অদ্ভুত মেলবন্ধন।","Bus, Car, CNG Auto Rickshaw, Traffic Jam, Street, Buildings, People, Trees, Road","Dhaka City, Bangladesh, Urban Life, Transportation, Congestion, Rainy Day, Metropolitan, Commute",Real,Safe. No harmful content depicted.,"Daytime, Outdoor, Urban City, Overcast/Rainy Lighting","Grey, Green, Red, Blue, White."
156.jpg,2,ঢাকা শহরের একটি ব্যস্ত রাস্তায় তীব্র যানজটের দৃশ্য।,"ছবিতে ঢাকার একটি ব্যস্ত রাস্তায় বাস, সিএনজি, গাড়ি এবং ট্রাকের দীর্ঘ সারি দেখা যাচ্ছে। আকাশ মেঘলা এবং রাস্তার পাশে বহুতল ভবন ও বিভিন্ন বিজ্ঞাপনের সাইনবোর্ড এখানে দৃশ্যমান।",অতিরিক্ত জনসংখ্যা ও অপরিকল্পিত নগরায়নের ফলে ঢাকা শহরে নিয়মিত এই ধরণের তীব্র যানজটের সৃষ্টি হয়।,যান্ত্রিক জীবনের এই ধীরগতি যেন শহরের ব্যস্ততাকে এক বিষণ্ণ ক্লান্তিতে রূপান্তর করেছে।,"Traffic jam, Bus, CNG auto-rickshaw, Cars, Buildings, Street, Signboards, People, Trees, Cloudy sky","Dhaka City, Urban life, Transportation, Congestion, Bangladesh, Daily life, Overcrowded, Monsoon weather",Real,Safe,"Daytime, Outdoor, Urban city, Overcast lighting","Grey, Red, Blue, Green, White"
156.jpg,3,ঢাকা শহরের একটি ব্যস্ত ও যানজটপূর্ণ বৃষ্টির দিনের চিত্র।,"ছবিতে ঢাকার একটি ব্যস্ত রাজপথ দেখা যাচ্ছে যেখানে বাস, সিএনজি এবং ব্যক্তিগত গাড়ির দীর্ঘ সারি রয়েছে। বৃষ্টির পর ভেজা রাস্তায় যানবাহনের জটলা এবং বিজ্ঞাপনগুলো শহরের চিরচেনা রূপ ফুটিয়ে তুলছে।",অতিরিক্ত জনসংখ্যা ও যানবাহনের চাপের কারণে ঢাকা শহরে বৃষ্টির দিনে তীব্র যানজট সৃষ্টি হওয়া স্বাভাবিক।,"মেঘলা আকাশে নাগরিক ব্যস্ততার এক ধূসর ছবি, যেখানে যান্ত্রিক জীবন থমকে দাঁড়িয়েছে বৃষ্টির ছোঁয়ায়।","Bus, Car, CNG Auto-rickshaw, Truck, Traffic jam, Buildings, Wet road","Dhaka city, Bangladesh, Urban life, Rainy day, Transportation, Congestion",Real,Safe,"Daytime, Outdoor urban street, Overcast lighting, Rainy weather","Grey, Green, Red, Blue, White, Yellow"
156.jpg,4,ঢাকার একটি ব্যস্ত সড়কে তীব্র যানজটের দৃশ্য।,"ছবিতে দেখা যাচ্ছে মেঘলা দিনে ঢাকার ব্যস্ত সড়কে অসংখ্য বাস, প্রাইভেট কার এবং সিএনজি অটোরিকশার দীর্ঘ সারি। রাস্তার দুই পাশে উঁচু দালান এবং পথচারীদের ব্যস্ততা নগর জীবনের অস্থিরতা প্রকাশ করছে।",অত্যধিক যানবাহন এবং সরু রাস্তার কারণে নিয়মিত সৃষ্ট যানজটের বাস্তব চিত্র।,যান্ত্রিকতার ভিড়ে থমকে যাওয়া শহরের এক বিষণ্ণ আর কোলাহলপূর্ণ মুহূর্ত।,"Buses, Cars, CNG auto-rickshaws, Buildings, Traffic jam, Road, Trees, Pedestrians, Flyover pillars","Dhaka city, Urban life, Transportation, Bangladesh, Heavy traffic, Overcast weather, Rush hour",Real,Safe,"Daytime, Urban street, Overcast/Natural light","Grey, White, Green, Red, Blue"
156.jpg,5,ঢাকা শহরের একটি ব্যস্ত রাস্তায় তীব্র যানজটের দৃশ্য।,"বৃষ্টির দিনে ঢাকার ব্যস্ত সড়কে বাস, সিএনজি এবং গাড়ির দীর্ঘ সারি দেখা যাচ্ছে। রাস্তার দুপাশে বহুতল ভবন ও মানুষের ব্যস্ততা মিলে শহরের এক চিরচেনা রূপ এখানে স্পষ্টভাবে ফুটে উঠেছে।",অতিরিক্ত জনসংখ্যা এবং অপ্রতুল রাস্তার কারণে উন্নয়নশীল মেগাসিটিতে তীব্র যানজট সৃষ্টি হয়েছে।,ক্লান্ত শহরের ভেজা পথে যান্ত্রিকতার কোলাহল এক বিষণ্ণ সুরের মুর্ছনা তৈরি করেছে।,"Buses, Traffic jam, Cars, Rickshaws, Buildings, Wet road, Billboard, People, Overcast sky","Dhaka city, Urban chaos, Transportation, Rainy season, Bangladesh, Commuting, Crowded street",Real,Safe,"Daytime, Outdoor, Rainy environment, Busy city street","Grey, Red, Green, Blue, White, Yellow"
157.jpg,1,ঢাকার একটি ব্যস্ত রাস্তায় যানজটের সাধারণ দৃশ্য।,"ছবিতে একটি বড় গোলাপি বাস, রঙিন রিকশা এবং মোটরসাইকেলসহ একটি ঘনবসতিপূর্ণ রাস্তার যানজট দেখা যাচ্ছে। রাস্তার পাশে বহুতল ভবন এবং বিজ্ঞাপনের বিলবোর্ড শহরের ব্যস্ত জীবনকে স্পষ্টভাবে ফুটিয়ে তুলেছে।",এটি একটি সাধারণ কর্মব্যস্ত দিনের দৃশ্য যেখানে সাধারণ মানুষ গন্তব্যে পৌঁছানোর জন্য যানজটে আটকে আছে।,ধুলোবালি আর যান্ত্রিক কোলাহলের মাঝে নাগরিক জীবনের এক অবিরাম সংগ্রামের প্রতিচ্ছবি এই রাস্তাটি।,"Bus, Rickshaw, Motorcycle, Helmet, Buildings, Billboard, People, Street, Traffic","Urban traffic, Dhaka city, Public transport, Commuting, Crowded street, South Asian life, Daily hustle",Real,Safe (Normal public street scene),"Outdoor, city street, bright daylight, congested environment","Pink, Maroon, Yellow, Blue, Grey, White, Green"
157.jpg,2,শহরের একটি ব্যস্ত রাস্তার যানজটের দৃশ্য।,"ছবিতে ঢাকার একটি ব্যস্ত রাস্তায় তীব্র যানজট দেখা যাচ্ছে। বড় রঙিন বাস, অসংখ্য রিকশা এবং মোটরসাইকেল রাস্তায় ঠাসাঠাসি করে দাঁড়িয়ে আছে। আশেপাশের ভবন ও বিলবোর্ডগুলো শহরের কর্মব্যস্ততা প্রকাশ করছে।",অতিরিক্ত যানবাহনের কারণে শহরের প্রধান সড়কে এই যানজটের সৃষ্টি হয়েছে।,যান্ত্রিক নগরীর ক্লান্ত দুপুরে যানবাহনের ভিড়ে যেন স্তব্ধ হয়ে আছে সময়।,"Bus, Rickshaw, Motorcycle, People, Buildings, Billboards, Traffic jam, License plate","Dhaka city, Urban life, Transportation, Street photography, Bangladesh, Busy road, Congestion",Real,Safe,"Daytime, Outdoor, Urban street, Bright natural light","Pink, Yellow, White, Black, Grey, Blue"
157.jpg,3,ঢাকায় একটি ব্যস্ত রাস্তার যানজটের দৃশ্য।,"এই ছবিতে ঢাকার একটি ব্যস্ত রাস্তা দেখা যাচ্ছে যেখানে একটি বড় বাস, অনেকগুলো রঙিন রিকশা এবং মোটরসাইকেল যানজটে আটকে আছে। রাস্তার পাশে বহুতল ভবন এবং বিজ্ঞাপনের বিলবোর্ড দৃশ্যমান।",শহরাঞ্চলে অত্যধিক যানবাহনের কারণে সৃষ্ট একটি সাধারণ যানজটের দৃশ্য এটি।,যান্ত্রিক শহরের ব্যস্ততায় নাগরিক জীবনের এক ক্লান্তিকর ও স্থবির মুহূর্ত।,"Bus, Rickshaw, Motorcycle, People, Buildings, Billboard, Helmet, Street","Traffic jam, Urban life, Transportation, Dhaka city, Bangladesh, Congestion, Commuting",Real,Safe,"Daytime, Outdoor, Urban street, Bright natural light","Purple, White, Blue, Yellow, Black, Grey"
157.jpg,4,ঢাকার ব্যস্ত রাস্তায় রিকশা ও বাসের দীর্ঘ যানজট।,"ছবিটিতে একটি জনাকীর্ণ শহরের রাস্তা দেখা যাচ্ছে যেখানে একটি বড় বেগুনি বাস, অসংখ্য রঙিন রিকশা এবং মোটরসাইকেল যানজটে আটকে আছে। ব্যস্ত নাগরিক জীবনের ব্যস্ততা এখানে স্পষ্টভাবে ফুটে উঠেছে।",অতিরিক্ত যানবাহন এবং সংকীর্ণ রাস্তার কারণে শহরের মূল পয়েন্টে এই তীব্র যানজট সৃষ্টি হয়েছে।,যান্ত্রিক নগরের ধুলোবালিতে বন্দি হয়ে থমকে আছে ক্লান্ত জীবনের গতির চাকা।,"Bus, Rickshaw, Motorcycle, Helmet, People, Buildings, Street, Billboard","Traffic jam, Urban life, Dhaka street, Crowded, Public transport, Bangladesh",Real,Safe,"Daytime, Outdoor urban street, Natural daylight","Purple, Yellow, Blue, White, Grey."
157.jpg,5,ঢাকার একটি ব্যস্ত সড়কে রিকশা ও বাসের যানজটের চিত্র।,"ছবিটিতে ঢাকার একটি ব্যস্ত রাস্তা দেখা যাচ্ছে যেখানে বেগুনি বাস, রঙিন রিকশা এবং মোটরসাইকেল যানজটে আটকে আছে। রাস্তার পাশে বহুতল ভবন এবং বিজ্ঞাপনের বিলবোর্ড নাগরিক জীবনের এক অবিচ্ছেদ্য অংশ হিসেবে দৃশ্যমান।",জনবহুল শহরে যাতায়াতের সময় সৃষ্ট সাধারণ যানজট এবং নাগরিক জীবনের ব্যস্ততা প্রকাশ করছে।,যান্ত্রিক জীবনের চাকা যেখানে থমকে দাঁড়িয়েছে কোলাহলপূর্ণ রাজপথের ক্লান্তিময় এক ধূসর বিকেলে।,"Rickshaw, Bus, Motorcycle, Street, Helmet, Buildings, Billboard, People, Traffic, Dhaka","Urban life, Traffic jam, Bangladesh, Transportation, Public transport, Commute, Cityscape, Busy road",Real,Safe. The image shows a normal public street scene.,"Daytime, Outdoor, Urban street, Natural daylight.","Purple, Grey, Yellow, Blue, Black, White."
158.jpg,1,একটি ব্যস্ত শহরের রাস্তায় তীব্র যানজটের দৃশ্য।,"ছবিতে দেখা যাচ্ছে অসংখ্য বাস, প্রাইভেট কার এবং রিকশা শহরের প্রধান সড়কে আটকে আছে। ফুটপাতে মানুষের ভিড় এবং চারপাশের দোকানপাটের ব্যস্ততা শহরের নাগরিক জীবনের চিরাচরিত রূপ ফুটিয়ে তুলেছে।",অতিরিক্ত যানবাহন এবং সরু রাস্তার কারণে এই যানজট সৃষ্টি হয়েছে।,যান্ত্রিক কোলাহল আর গতির লড়াইয়ে স্তব্ধ হয়ে আছে নাগরিক জীবন।,"Bus, Car, Rickshaw, Traffic jam, People, Road, Buildings, Electric poles, Trees, Billboards","Urban life, Dhaka city, Transportation, Crowded street, Developing country, Daily commute, Chaotic traffic",Real,Safe. The image depicts a common urban scene without any harmful content.,"Daytime, Outdoor, Busy city road, Natural daylight","White, Green, Blue, Red, Grey, Yellow"
158.jpg,2,ঢাকার একটি ব্যস্ত রাস্তায় যানবাহনের তীব্র যানজট।,"ছবিতে বাংলাদেশের রাজধানী ঢাকার একটি অত্যন্ত জনাকীর্ণ রাস্তা দেখা যাচ্ছে যেখানে বাস, প্রাইভেট কার এবং রিকশার দীর্ঘ সারি তৈরি হয়েছে। রাস্তার দুই পাশে দোকানপাট এবং বৈদ্যুতিক খুঁটি বিদ্যমান।",অতিরিক্ত জনসংখ্যা ও অপরিকল্পিত নগরায়নের ফলে ঢাকার রাস্তায় এমন তীব্র যানজট নিয়মিত লক্ষ্য করা যায়।,চাকার ঘর্ষণে থমকে যাওয়া রাজপথ যেন নাগরিক যন্ত্রণার এক মৌন মহাকাব্য।,"Bus, Car, Rickshaw, Traffic jam, Road, Buildings, Trees, People, Electric poles, Street","Dhaka city, Urban life, Transportation, Crowded, Busy street, Bangladesh, Commuting, Daily life",Real,Safe,"Outdoor, daytime, busy city street, overcast lighting","Silver, White, Red, Blue, Green, Grey"
158.jpg,3,ঢাকার একটি ব্যস্ত রাস্তায় যানবাহনের তীব্র যানজট।,"ছবিতে ঢাকার একটি জনাকীর্ণ সড়কে অসংখ্য বাস, ব্যক্তিগত গাড়ি এবং মানুষের ভিড় দেখা যাচ্ছে। রাস্তার উভয় পাশে যানবাহনের দীর্ঘ সারি এবং ফুটপাথে ব্যস্ত পথচারীরা শহরের কর্মব্যস্ত জীবনের চিত্র ফুটিয়ে তুলেছে।",অতিরিক্ত জনসংখ্যা এবং সীমিত রাস্তার কারণে বড় শহরগুলোতে প্রতিনিয়ত এই ধরণের যানজট সৃষ্টি হয়।,যান্ত্রিক এই নগরে ক্লান্ত চাকাগুলো যেন থমকে দাঁড়িয়ে আছে এক অনিশ্চিত গন্তব্যের অপেক্ষায়।,"Buses, cars, traffic, street, pedestrians, buildings, trees, road divider, motorcycle","Dhaka city, traffic jam, urban chaos, transportation, Bangladesh, busy street, daytime, commute",Real,Safe,"Daytime, outdoor, crowded urban street, natural daylight","White, grey, green, blue, red, brown."
158.jpg,4,ঢাকার ব্যস্ত সড়কে তীব্র যানজটের দৃশ্য।,"এই ছবিতে ঢাকার একটি ব্যস্ত রাজপথে অসংখ্য বাস, কার এবং রিকশার দীর্ঘ সারি দেখা যাচ্ছে। ফুটপাতে মানুষের ভিড় এবং জরাজীর্ণ বৈদ্যুতিক তার শহরের চিরচেনা ব্যস্ততার রূপটি স্পষ্টভাবে ফুটিয়ে তুলেছে।",অতিরিক্ত জনসংখ্যা ও অপরিকল্পিত নগরায়নের ফলে সৃষ্ট প্রাত্যহিক যানজটের একটি বাস্তব চিত্র।,"যান্ত্রিক এই শহরে চাকা থমকে আছে, যেন সময়ের স্রোতে সবাই আজ বন্দি।","Bus, Car, Rickshaw, Traffic Jam, Street, People, Buildings, Electric Wires, Road, Urban","Dhaka City, Bangladesh, Transportation, Urban Life, Chaos, Busy Street, Commuting, Public Transport",Real,Safe,"Daytime, outdoor, busy city street, bright daylight","Green, Silver, White, Red, Blue, Grey."
158.jpg,5,ঢাকার একটি ব্যস্ত রাস্তায় তীব্র যানজটের দৃশ্য।,"ছবিটিতে দেখা যাচ্ছে অসংখ্য বাস, প্রাইভেট কার এবং রিকশা একটি সরু রাস্তায় আটকে আছে। রাস্তার দুই পাশে মানুষ এবং অস্থায়ী দোকানের ভিড় শহরের ব্যস্ত নাগরিক জীবনের প্রতিফলন ঘটায়।",অতিরিক্ত যানবাহন এবং অপরিকল্পিত রাস্তা ব্যবস্থাপনার কারণে এই তীব্র যানজটের সৃষ্টি হয়েছে।,যান্ত্রিক জীবনের চাকা যেন এক স্থবিরতায় থমকে দাঁড়িয়েছে এই ব্যস্ত রাজপথে।,"Buses, cars, rickshaws, traffic jam, city street, people, electric poles, shops, trees","Urban life, Dhaka traffic, congestion, busy afternoon, transportation, overpopulation, Bangladesh",Real,Safe,"Daytime, outdoor, crowded urban street, natural daylight","White, red, green, blue, grey, yellow"
159.jpg,1,ঢাকার একটি ব্যস্ত রাস্তায় রিকশার দীর্ঘ জট।,রাতের আলোয় ঢাকার জনাকীর্ণ সড়কে অসংখ্য রঙিন রিকশা এবং যাত্রীদের ভিড় দেখা যাচ্ছে। সরু রাস্তায় যানবাহনের এই তীব্র জট শহরের চিরচেনা ব্যস্ততা এবং যানজটের বাস্তব চিত্র ফুটিয়ে তোলে।,শহুরে যাতায়াত এবং অতিরিক্ত জনসংখ্যার কারণে সৃষ্ট যানজটের একটি বাস্তব দৃশ্য।,রাতের আঁধারে রিকশার মেলা যেন এক চলমান যান্ত্রিক মিছিল।,"Rickshaws, Passengers, Traffic jam, Night street, Street lights, Electric wires, Crowd, Bangladesh, Urban life, Colorful hoods","Dhaka city, Overpopulation, Commuting, Transportation, Nightlife, South Asia, Busy lifestyle, Urbanization",Real,Safe,"Night, Outdoor, Crowded city street, Artificial lighting","Dark blue, Red, Green, Yellow, Black"
159.jpg,2,রাতের ব্যস্ত ঢাকার রাস্তায় অসংখ্য রিকশার জটলা।,রাতের আলোয় ঝলমলে ঢাকার একটি ব্যস্ত সড়কে অসংখ্য রঙিন রিকশা এবং যাত্রীদের ভিড় দেখা যাচ্ছে। মাথার ওপর বৈদ্যুতিক তারের জঞ্জাল এবং যানবাহনের তীব্র যানজট শহুরে জীবনের ব্যস্ততা ফুটিয়ে তুলছে।,অতিরিক্ত জনসংখ্যা এবং যাতায়াতের প্রধান মাধ্যম হিসেবে রিকশার আধিক্য এই যানজটের মূল কারণ।,যান্ত্রিক শহরের বুকে রঙিন রিকশাগুলো যেন এক চলমান চিত্রপটের মতো বিশৃঙ্খলার মাঝেও ছন্দ খুঁজে নেয়।,"Rickshaw, street, night, crowd, traffic jam, passengers, electric wires, streetlights, urban, Dhaka","urban life, congestion, public transport, Bangladesh, city night, bustling, traditional transport, chaotic",Real,Safe (Public street scene with no prohibited content),"Night, outdoor, busy city street, artificial lighting","Multicolored, dark backgrounds, warm streetlights, blue, red, green."
159.jpg,3,ঢাকার রাস্তায় রিকশার তীব্র যানজট।,রাতের আলোয় শহরের ব্যস্ত সড়কে শত শত রিকশা এক সারিতে দাঁড়িয়ে আছে। রিকশার রঙিন হুড এবং যাত্রীদের ভিড় একটি উৎসবমুখর অথচ বিশৃঙ্খল শহুরে পরিবেশের চিত্র তুলে ধরেছে।,অতিরিক্ত জনসংখ্যা এবং সীমিত যাতায়াত ব্যবস্থার কারণে এই তীব্র যানজটের সৃষ্টি হয়েছে।,রাতের আঁধারে কৃত্রিম আলোয় রিকশার রঙিন মিছিল যেন এক জীবন্ত নদী।,"Rickshaws, Traffic, Passengers, Street lights, Electric wires, Crowd, Colorful hoods, Urban road, Night photography, Advertisements","Dhaka city, Transportation, Traffic congestion, Nightlife, South Asia, Urban chaos, Daily commute, Public transport",Real,Safe. A typical urban street scene without any prohibited content.,"Night, Outdoor, Busy urban street with artificial street lighting.","Multi-colored, Black, Warm yellow, Blue, Red."
159.jpg,4,ঢাকার একটি ব্যস্ত রাস্তায় রাতের বেলা রিকশার দীর্ঘ জট।,"চিত্রটি রাতের ঢাকার একটি সরু ও অত্যন্ত জনাকীর্ণ রাস্তার দৃশ্য ফুটিয়ে তুলেছে, যেখানে শত শত রঙিন রিকশা জটলা পাকিয়ে আছে। কৃত্রিম আলোয় আলোকিত এই ব্যস্ত পথে যাত্রী ও পথচারীদের কর্মচঞ্চলতা স্পষ্ট দেখা যাচ্ছে।",ঢাকার উচ্চ জনসংখ্যা এবং যাতায়াতের প্রধান মাধ্যম হিসেবে রিকশার ওপর নির্ভরতা এই তীব্র যানজটের সৃষ্টি করে।,রাতের আধারে রঙিন রিকশার এই অন্তহীন স্রোত যেন শহরের যান্ত্রিক জীবনের এক জীবন্ত ক্যানভাস।,"Rickshaw, Crowded Street, People, Night, Urban Traffic, Dhaka, Cycle Rickshaw, Street Lights, Bangladesh","Traffic Congestion, Urban Life, Night Cityscape, Commuting, Public Transport, Busy Street, South Asian Culture",Real,Safe,"Night, Outdoor, Busy city street, Artificial light","Red, Green, Blue, Yellow, Dark Grey"
159.jpg,5,ঢাকার একটি ব্যস্ত রাতে রিকশার দীর্ঘ লাইন।,ছবিতে ঢাকার একটি ব্যস্ত রাস্তার রাতের দৃশ্য ফুটে উঠেছে যেখানে অসংখ্য রিকশা জ্যামে আটকে আছে। মানুষজন তাদের গন্তব্যে পৌঁছানোর জন্য অপেক্ষা করছে এবং চারপাশের কৃত্রিম আলো পুরো পরিবেশটিকে ফুটিয়ে তুলেছে।,ব্যস্ত শহরে যাতায়াতের প্রধান বাহন হিসেবে রিকশার আধিক্য এবং ট্রাফিক জ্যামের বাস্তব চিত্র।,যান্ত্রিক নগরে ক্লান্ত মানুষের ভিড় আর নিয়ন আলোর লুকোচুরি।,"Rickshaws, passengers, street, night, traffic, people, city, lights, electric wires","Dhaka, Bangladesh, urban life, transportation, commuting, rush hour, city night",Real,Safe,"Night, outdoor, city street, artificial street lighting.","Multi-colored hoods, yellow light, dark blue, grey."
16.jpg,1,বৈশাখী উৎসবে উজ্জ্বল সবুজ শাড়িতে হাসিমুখে কয়েকজন বাঙালি নারী।,ছবিতে কয়েকজন নারীকে উজ্জ্বল সবুজ এবং গোলাপী পাড়ের শাড়ি পরে হাসিমুখে দেখা যাচ্ছে। তাদের গলায় পুঁতির মালা এবং কপালে টিপ রয়েছে। পেছনে উৎসবমুখর জনতা এবং রঙিন বেলুন দেখা যাচ্ছে।,বাংলা নববর্ষ বা পহেলা বৈশাখ উদযাপনের জন্য নারীরা ঐতিহ্যবাহী পোশাকে সজ্জিত হয়েছেন।,বসন্তের সতেজ সবুজ আর উৎসবের রঙে রাঙানো এক প্রাণবন্ত মুহূর্ত।,"Women, Saree, Jewelry, Balloons, Crowd, Smiling, Traditional attire, Green saree","Pahela Baishakh, Bengali Culture, Festival, Celebration, Street photography",Real,Safe,"Daytime, outdoor, crowded street, natural daylight","Green, Pink, White, Orange, Blue"
16.jpg,2,উৎসবের আমেজে একদল হাস্যোজ্জ্বল নারী ঐতিহ্যবাহী শাড়ি পরে আনন্দ উদযাপন করছেন।,"ছবির সম্মুখভাগে সবুজ ও গোলাপি শাড়ি পরা তিনজন হাসিখুশি নারীকে দেখা যাচ্ছে। পেছনে রঙিন বেলুন ও জনাকীর্ণ রাস্তা কোনো উৎসবের প্রাণবন্ত প্রতিচ্ছবি ফুটিয়ে তুলছে, যা সামাজিক মেলবন্ধনের পরিচয় দেয়।",পহেলা বৈশাখ বা বিশেষ কোনো সামাজিক উৎসবে মেতে ওঠা মানুষের উচ্ছ্বাস এখানে প্রকাশ পেয়েছে।,"রঙিন বসনে যেন উৎসবের সুর বেজে উঠেছে, যেখানে হাসিমুখগুলো বসন্তের স্নিগ্ধতা ছড়িয়ে দিচ্ছে।","Women, Saree, Jewelry, Balloons, Crowd, Street, Bridge, Trees, Smiles, Traditional attire","Festival, Celebration, Culture, Bangladesh, Pahela Baishakh, Happiness, Social gathering, Tradition",Real,Safe,"Daytime, Outdoor, Crowded street, Natural daylight","Green, Pink, Orange, Yellow, Multi-color balloons"
16.jpg,3,উৎসবে মেতে ওঠা তিন বাঙালি নারীর হাসিমাখা মুখ।,ছবিটিতে উজ্জ্বল সবুজ ও গোলাপি রঙের শাড়ি পরিহিত তিন নারীকে একটি জনাকীর্ণ মেলায় বা উৎসবে আনন্দ করতে দেখা যাচ্ছে। তাদের পরনে ঐতিহ্যবাহী গয়না এবং কপালে বড় লাল টিপ রয়েছে।,এটি সম্ভবত পহেলা বৈশাখ বা কোনো বিশেষ বাঙালি সাংস্কৃতিক উৎসব উদযাপনের একটি দৃশ্য।,বসন্তের রঙে রাঙানো হৃদয়ে উৎসবের আমেজ যেন প্রকৃতির স্নিগ্ধতা বয়ে আনছে।,"Women, Saree, Jewelry, Bindi, Crowd, Balloons, Street, Smiles, Traditional clothing","Pohela Boishakh, Bengali Culture, Festival, Celebration, Public Event, Bangladesh, Happiness, Social Gathering",Real,Safe,"Outdoor, Public street, Daylight, Festive environment","Bright Green, Pink, Orange, White, Multi-colored balloons"
16.jpg,4,রঙিন শাড়ি পরে উৎসবে মেতে ওঠা একদল হাসিখুশি বাঙালি নারী।,"ছবিতে সবুজ-কমলা শাড়ি ও গোলাপি ব্লাউজে সজ্জিত তিনজন নারীকে দেখা যাচ্ছে। তারা ঐতিহ্যবাহী গয়না পরে হাসিমুখে জনাকীর্ণ জায়গায় উৎসব উদযাপন করছেন, যার পেছনে রঙিন বেলুন ও অসংখ্য মানুষ দৃশ্যমান।",পহেলা বৈশাখ বা বিশেষ কোনো সাংস্কৃতিক উৎসবে নারীদের সাজগোজ এবং উৎসবমুখর জমায়েত।,বসন্তের রঙে রাঙানো এক পশলা খুশি যেন বাঙালির হৃদয়ে দোলা দিয়ে গেছে।,"Saree, Bindi, Jewelry, Balloons, Crowd, Foot overbridge, Women, Smile","Pahela Baishakh, Bengali Culture, Festival, Celebration, Traditional attire, Public gathering",Real,Safe,"Outdoor, daytime, street, natural daylight, crowded festival environment","Green, Orange, Pink, White, Blue, Brown"
16.jpg,5,উৎসবের আমেজে একদল হাস্যোজ্জ্বল নারী।,উজ্জ্বল সবুজ ও গোলাপি রঙের ঐতিহ্যবাহী শাড়ি পরা তিনজন হাসিমুখের নারী একটি জনাকীর্ণ মেলা বা উৎসবে দাঁড়িয়ে আছেন। তাদের পেছনে অনেক মানুষ এবং একগুচ্ছ রঙিন বেলুন উৎসবের আমেজ বাড়িয়ে দিচ্ছে।,কোনো সাংস্কৃতিক উৎসব বা বসন্ত বরণ উদযাপনের সময় তোলা একটি আনন্দঘন ও প্রাণবন্ত মুহূর্ত।,রঙিন শাড়ি আর মিষ্টি হাসিতে মিশে আছে বাঙালিয়ানা ও উৎসবের এক পরম মায়াবী সুর।,"Saree, Women, Crowd, Balloons, Jewelry, Smile, Traditional dress, Outdoor, Bindi","Festival, Culture, Celebration, Bangladesh, Pahela Falgun, Social gathering, Happiness, Vibrant",Real,Safe,"Daytime, outdoor, crowded street festival, natural lighting","Green, Pink, Orange, White, Multi-color"
160.jpg,1,ঢাকার একটি ব্যস্ত রাজপথে তীব্র যানজট এবং সুউচ্চ ভবনের দৃশ্য।,ছবিতে একটি বড় শহরের ব্যস্ত রাস্তা দেখা যাচ্ছে যেখানে প্রচুর বাস ও প্রাইভেট কার জ্যামে আটকে আছে। রাস্তার দুই পাশে আধুনিক বহুতল ভবন এবং গাছপালাসহ মেঘলা আকাশ দৃশ্যমান।,একটি উন্নয়নশীল দেশের ব্যস্ত মহানগরের প্রাত্যহিক যাতায়াত এবং যানজটের বাস্তব চিত্র এটি।,ইট-পাথরের অরণ্যে যান্ত্রিক জীবনের এক ধূসর প্রতিচ্ছবি ফুটে উঠেছে এই ব্যস্ত রাজপথে।,"Traffic jam, Skyscrapers, Buses, Cars, City road, High-rise buildings, Trees, Haze, Urban landscape","Dhaka city, Urbanization, Busy commute, Daily life, Bangladesh, Road congestion, Cityscape",Real,Safe,"Daytime, urban outdoor, hazy natural light","Grey, White, Green, Blue, Red"
160.jpg,2,ঢাকার একটি ব্যস্ত রাজপথের আকাশচুম্বী ভবন এবং তীব্র যানজটের দৃশ্য।,"ছবিতে উঁচু দালানকোঠার মাঝখানে একটি ব্যস্ত সড়ক দেখা যাচ্ছে যেখানে প্রচুর বাস ও গাড়ি জ্যামে আটকে আছে, আর চারপাশ কুয়াশাচ্ছন্ন বা ধোঁয়াটে আবহে ঘেরা।",নগরায়নের ফলে সৃষ্ট জনাকীর্ণ শহর এবং নিত্যদিনের যানজটের বাস্তব চিত্র এটি।,ধোঁয়াশায় ঢাকা যান্ত্রিক শহরটি যেন এক অন্তহীন ক্লান্তির প্রতিচ্ছবি হয়ে দাঁড়িয়ে আছে।,"Skyscrapers, Traffic, Buses, Cityscape, Road, Trees, Fog, Buildings","Urbanization, Dhaka city, Traffic congestion, Air pollution, Morning haze, Busy lifestyle",Real,Safe,"Daytime, Urban outdoor, Hazy daylight","Grey, White, Green, Blue, Red"
